year,name,weather,SC Laps
2012,Hungarian Grand Prix,Dry,
2012,Belgian Grand Prix,Dry,3.0
2012,Italian Grand Prix,Dry,
2012,Singapore Grand Prix,Dry,9.0
2012,Japanese Grand Prix,Dry,2.0
2012,Korean Grand Prix,Dry,
2012,Indian Grand Prix,Dry,
2012,Abu Dhabi Grand Prix,Dry,12.0
2012,United States Grand Prix,Dry,
2012,Brazilian Grand Prix,Varied,8.0
2013,Australian Grand Prix,Dry,
2013,Malaysian Grand Prix,Varied,
2013,Chinese Grand Prix,Dry,
2013,Bahrain Grand Prix,Dry,
2013,Spanish Grand Prix,Dry,
2013,Monaco Grand Prix,Dry,12.0
2013,Canadian Grand Prix,Dry,
2013,British Grand Prix,Dry,12.0
2013,German Grand Prix,Dry,7.0
2013,Hungarian Grand Prix,Dry,
2013,Belgian Grand Prix,Dry,
2013,Italian Grand Prix,Dry,
2013,Singapore Grand Prix,Dry,7.0
2013,Korean Grand Prix,Dry,9.0
2013,Japanese Grand Prix,Dry,
2013,Indian Grand Prix,Dry,
2013,Abu Dhabi Grand Prix,Dry,
2013,United States Grand Prix,Dry,3.0
2013,Brazilian Grand Prix,Dry,
2014,Australian Grand Prix,Dry,5.0
2014,Malaysian Grand Prix,Dry,
2014,Bahrain Grand Prix,Dry,6.0
2014,Chinese Grand Prix,Dry,
2014,Spanish Grand Prix,Dry,
2014,Monaco Grand Prix,Dry,9.0
2014,Canadian Grand Prix,Dry,8.0
2014,Austrian Grand Prix,Dry,
2014,British Grand Prix,Dry,2.0
2014,German Grand Prix,Dry,2.0
2014,Hungarian Grand Prix,Varied,11.0
2014,Belgian Grand Prix,Dry,
2014,Italian Grand Prix,Dry,
2014,Singapore Grand Prix,Dry,7.0
2014,Japanese Grand Prix,Wet,12.0
2014,Russian Grand Prix,Dry,
2014,United States Grand Prix,Dry,4.0
2014,Brazilian Grand Prix,Dry,
2014,Abu Dhabi Grand Prix,Dry,
2015,Australian Grand Prix,Dry,3.0
2015,Malaysian Grand Prix,Dry,2.0
2015,Chinese Grand Prix,Dry,4.0
2015,Bahrain Grand Prix,Dry,
2015,Spanish Grand Prix,Dry,
2015,Monaco Grand Prix,Dry,7.0
2015,Canadian Grand Prix,Dry,
2015,Austrian Grand Prix,Dry,6.0
2015,British Grand Prix,Varied,2.0
2015,Hungarian Grand Prix,Dry,7.0
2015,Belgian Grand Prix,Dry,2.0
2015,Italian Grand Prix,Dry,
2015,Singapore Grand Prix,Dry,10.0
2015,Japanese Grand Prix,Dry,
2015,Russian Grand Prix,Dry,8.0
2015,United States Grand Prix,Varied,16.0
2015,Mexican Grand Prix,Dry,5.0
2015,Brazilian Grand Prix,Dry,
2015,Abu Dhabi Grand Prix,Dry,
2016,Australian Grand Prix,Dry,3.0
2016,Bahrain Grand Prix,Dry,
2016,Chinese Grand Prix,Dry,6.0
2016,Russian Grand Prix,Dry,3.0
2016,Spanish Grand Prix,Dry,3.0
2016,Monaco Grand Prix,Varied,12.0
2016,Canadian Grand Prix,Dry,2.0
2016,Azerbaijan Grand Prix,Dry,
2016,Austrian Grand Prix,Dry,5.0
2016,British Grand Prix,Varied,7.0
2016,Hungarian Grand Prix,Dry,
2016,German Grand Prix,Dry,
2016,Belgian Grand Prix,Dry,7.0
2016,Italian Grand Prix,Dry,
2016,Singapore Grand Prix,Dry,2.0
2016,Malaysian Grand Prix,Dry,5.0
2016,Japanese Grand Prix,Dry,
2016,United States Grand Prix,Dry,
2016,Mexican Grand Prix,Dry,3.0
2016,Brazilian Grand Prix,Wet,34.0
2016,Abu Dhabi Grand Prix,Dry,
2007,Australian Grand Prix,Dry,
2007,Malaysian Grand Prix,Dry,
2007,Bahrain Grand Prix,Dry,2.0
2007,Spanish Grand Prix,Dry,
2007,Monaco Grand Prix,Dry,
2007,Canadian Grand Prix,Dry,21.0
2007,United States Grand Prix,Dry,
2007,French Grand Prix,Dry,
2007,British Grand Prix,Dry,
2007,European Grand Prix,Varied,5.0
2007,Hungarian Grand Prix,Dry,
2007,Turkish Grand Prix,Dry,
2007,Italian Grand Prix,Dry,4.0
2007,Belgian Grand Prix,Dry,
2007,Japanese Grand Prix,Wet,26.0
2007,Chinese Grand Prix,Varied,
2007,Brazilian Grand Prix,Dry,
2017,Australian Grand Prix,Dry,
2017,Bahrain Grand Prix,Dry,
2017,Chinese Grand Prix,Wet,9.0
2017,Russian Grand Prix,Dry,4.0
2017,Spanish Grand Prix,Dry,4.0
2017,Monaco Grand Prix,Dry,6.0
2017,Canadian Grand Prix,Dry,6.0
2017,Azerbaijan Grand Prix,Dry,22.0
2017,Austrian Grand Prix,Dry,0.0
2017,British Grand Prix,Dry,4.0
2017,Hungarian Grand Prix,Dry,5.0
2017,Belgian Grand Prix,Dry,5.0
2017,Italian Grand Prix,Dry,1.0
2017,Singapore Grand Prix,Wet,12.0
2017,Malaysian Grand Prix,Dry,0.0
2017,Japanese Grand Prix,Dry,8.0
2017,United States Grand Prix,Dry,0.0
2017,Mexican Grand Prix,Dry,3.0
2017,Brazilian Grand Prix,Dry,3.0
2017,Abu Dhabi Grand Prix,Dry,0.0
